symbol;value
EPYC;3
CYLD;3032
SLC27A5;253
ZNF324;200
ZNF671;426
ZNF416;212
ZNF586;305
ZNF446;277
ZNF264;809
RPS5;21566
FAT1;4803
YTHDC1;1977
CHMP2B;928
SMAP2;2079
PPIE;1165
ZMPSTE24;1933
STARD7;5245
NOA1;1062
REST;1385
HAL;6
SSH1;1729
GSTP1;5580
APLP2;13243
FAM234B;487
SLCO1A2;1
WBP11;2311
EIF3I;5007
NKAIN1;45
COL16A1;117
TXLNA;2036
APOB;839
NCOA1;2427
AGBL5;2399
EFR3B;106
KIF3C;206
RAB10;4951
GCKR;0
HADHA;10089
MAPRE3;342
CAD;883
CD59;10319
CD82;1000
BCORL1;582
ATRX;2511
AK6;359
FCN1;210
MYNN;816
MECOM;603
SCAMP1;2883
PREP;940
HACE1;394
SEH1L;1253
WDR47;657
WDFY1;1401
OVGP1;31
SLC25A24;1760
MAP3K4;918
PILRA;614
IGSF9;2
ABCB1;1312
ZNF213;433
AKR1B1;5537
CPNE3;4352
RRN3;1674
CTTN;3653
WNT11;11
MTIF2;1341
DDHD2;2110
TTC39A;991
EPS15;2925
ORC1;74
MGST2;1304
CHERP;1201
