gene;value
EIF3I;8273
NKAIN1;43
COL16A1;1491
TXLNA;3735
APOB;5
NCOA1;2419
AGBL5;8344
EFR3B;85
KIF3C;655
RAB10;4188
GCKR;16
HADHA;4571
MAPRE3;462
CAD;3993
CD59;4940
CD82;2265
BCORL1;865
ATRX;1814
AK6;222
FCN1;112
MYNN;859
MECOM;2054
SCAMP1;1378
PREP;712
HACE1;221
SEH1L;1887
WDR47;256
WDFY1;1604
OVGP1;130
SLC25A24;1711
MAP3K4;575
PILRA;260
IGSF9;3528
ABCB1;21
ZNF213;914
AKR1B1;3619
CPNE3;4681
RRN3;1254
CTTN;9439
WNT11;837
MTIF2;1535
DDHD2;969
TTC39A;341
